中文,English
爱,Love
八,Eight
爸爸,dad
北京,Beijing
杯子,cup
本,Book
不,Do not
不客气,You're welcome
菜,vegetable
吃,eat
出租车,taxi
大,Big
打电话,Call up
的,of
点,point
电脑,computer
电视,television
电影,Movie
东西,thing
都,All
读,read
对不起,Sorry
多,many
多少,How many
二,two
儿子,son
饭馆,restaurant
飞机,airplane
分钟,minute
高兴,Happy
个,indivual
工作,Work
狗,dog
汉语,Chinese
好,it is good
和,and
喝,drink
很,very
后面,Behind
回,Return
会,meeting
火车站,TRAIN STATION
几,Several
家,Family
叫,Call
今天,today
九,Nine
开,open
看,Look
看见,see
块,yuan
来,Come
老师,teacher
了,Over
冷,cold
里,inside
零,zero
六,six
吗,?
妈妈,Mother
买,purchase
猫,cat
没,No
没关系,It doesn't matter
米饭,rice
明天,tomorrow
名字,name
那,That
哪,where
呢,Woolen cloth
能,can
你,you
年,year
女儿,daughter
朋友,friend
漂亮,Pretty
苹果,apple
七,seven
钱,money
前面,Front
请,Please
去,go
热,hot
人,people
认识,know
日,day
三,three
上,superior
商店,shop
上午,morning
少,few
谁,Who
什么,what
十,ten
是,Yes
时候,when
书,Book
水,water
水果,fruit
睡觉,sleep
说话,say
四,Four
岁,age
他,he
她,she
天气,weather
听,listen
同学,classmate
喂,Hey
我,I
我们,us
五,five
喜欢,like
下,Down
下午,afternoon
下雨,rain
先生,gentlemen
现在,Now
想,think
小,Small
小姐,Miss
写,Write
些,some
谢谢,thanks
星期,Week
学生,student
学习,study
学校,School
一,one
衣服,clothing
医生,doctor
医院,Hospital
椅子,Chair
有,Have
月,moon
在,exist
再见,goodbye
怎么,how
怎么样,How about it
这,this
中国,China
中午,noon
住,live
桌子,table
字,Character
做,Do
坐,sit
昨天,yesterday
